p,v20vec,v50vec,v100vec,v200vec
0,0,0,0,0
0.01010101,0.0026,0.000552,0.000192,5.70E-05
0.02020202,0.0033,0.00076,0.000244,7.65E-05
0.03030303,0.00395,0.00092,0.000284,8.70E-05
0.04040404,0.00475,0.001024,0.00034,0.0001015
0.050505051,0.00485,0.00124,0.000366,0.0001135
0.060606061,0.0054,0.001344,0.000422,0.000124
0.070707071,0.0059,0.001456,0.000464,0.000133
0.080808081,0.00705,0.00172,0.000508,0.0001555
0.090909091,0.0076,0.00176,0.000538,0.00016
0.101010101,0.00815,0.001936,0.000592,0.000178
0.111111111,0.00875,0.002032,0.000656,0.0001955
0.121212121,0.0099,0.0022,0.000674,0.000211
0.131313131,0.01015,0.002368,0.000746,0.0002275
0.141414141,0.01105,0.002672,8.00E-04,0.00023
0.151515152,0.01325,0.00284,0.000876,0.000261
0.161616162,0.01215,0.002784,0.000894,0.000274
0.171717172,0.0127,0.003104,0.00099,0.0003005
0.181818182,0.01395,0.003224,0.001068,0.0003285
0.191919192,0.01655,0.003464,0.001146,0.0003575
0.202020202,0.01625,0.003656,0.001226,0.0003925
0.212121212,0.0178,0.00428,0.001336,0.000408
0.222222222,0.01905,0.004432,0.00134,0.0004185
0.232323232,0.01885,0.004768,0.001576,0.000485
0.242424242,0.01855,0.004952,0.001704,0.0004885
0.252525253,0.0212,0.005328,0.001776,0.0005355
0.262626263,0.02225,0.005696,0.001904,0.0005755
0.272727273,0.02445,0.006792,0.002122,0.0006115
0.282828283,0.0261,0.006808,0.00219,0.000661
0.292929293,0.0277,0.00732,0.002352,0.000722
0.303030303,0.029,0.007744,0.002546,0.000779
0.313131313,0.0289,0.007864,0.00279,0.0008595
0.323232323,0.03265,0.008728,0.00307,0.0009205
0.333333333,0.0352,0.009696,0.003476,0.0009775
0.343434343,0.04025,0.010688,0.00348,0.001104
0.353535354,0.0426,0.011672,0.003804,0.001197
0.363636364,0.0442,0.012744,0.004114,0.001301
0.373737374,0.04905,0.013944,0.004588,0.0015295
0.383838384,0.0453,0.014384,0.00505,0.0015775
0.393939394,0.05335,0.015736,0.00524,0.001807
0.404040404,0.0666,0.018488,0.006282,0.0019665
0.414141414,0.0649,0.020184,0.007048,0.00212
0.424242424,0.07135,0.02088,0.007594,0.002704
0.434343434,0.0697,0.02404,0.008546,0.002871
0.444444444,0.0853,0.024808,0.010198,0.0032565
0.454545455,0.08415,0.028024,0.011082,0.0035285
0.464646465,0.09985,0.034856,0.013,0.004274
0.474747475,0.10295,0.042512,0.0161,0.005354
0.484848485,0.10725,0.042128,0.018474,0.005836
0.494949495,0.13125,0.0518,0.02271,0.0074415
0.505050505,0.14345,0.063032,0.024086,0.0093695
0.515151515,0.16365,0.074728,0.029066,0.011707
0.525252525,0.16875,0.088792,0.03833,0.014254
0.535353535,0.19465,0.099192,0.046314,0.0186475
0.545454545,0.21895,0.119704,0.069946,0.024933
0.555555556,0.25615,0.146536,0.080334,0.035586
0.565656566,0.2861,0.192112,0.118516,0.0573695
0.575757576,0.3023,0.217816,0.158928,0.1014995
0.585858586,0.3213,0.2676,0.225672,0.178053
0.595959596,0.3515,0.274632,0.331554,0.294648
0.606060606,0.37635,0.382536,0.37171,0.416523
0.616161616,0.4287,0.427976,0.464678,0.504492
0.626262626,0.43635,0.489488,0.517546,0.5470565
0.636363636,0.46565,0.491456,0.554094,0.5766855
0.646464646,0.5181,0.557984,0.587066,0.6017405
0.656565657,0.54045,0.587016,0.613682,0.621894
0.666666667,0.56475,0.612008,0.626862,0.638457
0.676767677,0.592,0.638664,0.650136,0.6536585
0.686868687,0.61,0.651864,0.665702,0.668006
0.696969697,0.62055,0.67356,0.679622,0.682613
0.707070707,0.6666,0.691776,0.692422,0.694395
0.717171717,0.678,0.699016,0.704958,0.7070905
0.727272727,0.69475,0.716568,0.717628,0.718554
0.737373737,0.7049,0.727808,0.73021,0.7301775
0.747474747,0.7199,0.740992,0.740898,0.7416665
0.757575758,0.74765,0.747792,0.752442,0.752638
0.767676768,0.75175,0.76228,0.763474,0.7633825
0.777777778,0.7656,0.775024,0.774556,0.7744545
0.787878788,0.7762,0.785488,0.785194,0.785247
0.797979798,0.7887,0.794264,0.794792,0.7958155
0.808080808,0.80425,0.806376,0.806858,0.806278
0.818181818,0.81285,0.815408,0.816916,0.817024
0.828282828,0.82465,0.826904,0.827346,0.8277315
0.838383838,0.83145,0.83708,0.838086,0.837656
0.848484848,0.84805,0.846176,0.848356,0.847694
0.858585859,0.85795,0.859464,0.858486,0.858204
0.868686869,0.86845,0.865864,0.868394,0.868304
0.878787879,0.8766,0.878696,0.878888,0.878451
0.888888889,0.8877,0.889832,0.888318,0.8890225
0.898989899,0.9009,0.89944,0.898194,0.898567
0.909090909,0.90925,0.908152,0.908958,0.9088905
0.919191919,0.92095,0.918584,0.918886,0.9193875
0.929292929,0.9314,0.928952,0.929374,0.9292505
0.939393939,0.9385,0.939096,0.939936,0.939252
0.949494949,0.94775,0.9488,0.949524,0.949542
0.95959596,0.96135,0.95956,0.959464,0.95963
0.96969697,0.96755,0.970144,0.969724,0.969705
0.97979798,0.9827,0.979568,0.97965,0.9797345
0.98989899,0.98985,0.989568,0.990116,0.989905
1,1,1,1,1